id,probe,date,value
,CC3-TP01,2021-10-13 02:32:50,4.05
,CC3-TP01,2021-10-15 00:07:27,5.93
,CC-HP01,2021-10-18 08:21:29,5.02
,CC5-TP01,2021-10-16 06:44:36,5.72
,CC5-TP01,2021-10-16 04:06:40,4.44
,CC-TP01,2021-10-12 05:41:23,5.87
,CC5-HP01,2021-10-19 00:10:25,5.05
,CC6-HP01,2021-10-18 13:26:44,4.52
,CC5-TP01,2021-10-19 06:21:03,5.93
,CC-TP01,2021-10-18 21:37:54,4.62
,CC3-HP01,2021-10-18 08:44:26,4.07
,CC2-TP01,2021-10-16 02:01:08,5.36
,CC-HP01,2021-10-19 02:00:34,5.67
,CC-TP01,2021-10-14 01:17:54,4.34
,CC6-HP01,2021-10-16 09:31:49,4.37
,CC3-TP01,2021-10-14 10:48:04,5.78
,CC5-TP01,2021-10-14 13:32:14,5.79
,CC-TP01,2021-10-17 15:59:51,4.6
,CC4-HP01,2021-10-16 23:58:00,4.51
,CC-TP01,2021-10-12 04:42:34,5.43
,CC-HP01,2021-10-18 12:52:10,5.37
,CC3-HP01,2021-10-19 22:44:14,5.55
,CC-TP01,2021-10-14 09:00:19,5.69
,CC2-TP01,2021-10-16 23:58:49,5.12
,CC3-TP01,2021-10-12 02:29:59,5.74
,CC5-TP01,2021-10-17 17:59:41,4.95
,CC-TP01,2021-10-14 23:16:58,4.94
,CC3-TP01,2021-10-13 22:38:10,5.58
,CC6-TP01,2021-10-14 03:59:38,5.82
,CC3-HP01,2021-10-14 11:44:25,5.23
,CC7-TP01,2021-10-13 03:13:57,4.61
,CC3-HP01,2021-10-12 10:43:09,5.92
,CC7-HP01,2021-10-15 21:12:36,4.65
,CC-TP01,2021-10-19 07:30:17,5.77
,CC2-HP01,2021-10-19 15:15:20,4.19
,CC2-TP01,2021-10-15 09:58:23,5.95
,CC7-HP01,2021-10-16 09:11:10,5.14
,CC3-HP01,2021-10-13 07:34:33,5.88
,CC6-HP01,2021-10-13 06:59:50,5.41
,CC3-HP01,2021-10-17 04:36:30,5.21
,CC4-HP01,2021-10-18 06:40:17,4.71
,CC3-HP01,2021-10-15 07:46:04,4.55
,CC4-HP01,2021-10-16 14:31:20,5.97
,CC-TP01,2021-10-12 14:38:27,5.83
,CC5-HP01,2021-10-14 13:59:03,5.23
,CC2-HP01,2021-10-19 02:18:34,5.89
,CC2-TP01,2021-10-12 17:54:32,5.17
,CC4-HP01,2021-10-16 21:07:46,5.88
,CC4-TP01,2021-10-15 14:46:48,5.68
,CC-HP01,2021-10-15 05:56:39,4.91
,CC3-HP01,2021-10-18 00:32:09,5.44
,CC5-TP01,2021-10-19 17:12:28,5.36
,CC6-TP01,2021-10-18 22:39:22,5.5
,CC2-TP01,2021-10-19 21:47:08,4.01
,CC-HP01,2021-10-12 12:43:09,5.18
,CC6-TP01,2021-10-15 21:58:34,5.22
,CC-TP01,2021-10-14 17:14:21,5.48
,CC3-TP01,2021-10-19 23:26:21,4.55
,CC6-TP01,2021-10-16 19:32:10,5.19
,CC-HP01,2021-10-13 23:56:58,4.63
,CC2-HP01,2021-10-12 13:48:02,5.56
,CC5-TP01,2021-10-13 17:35:12,4.4
,CC5-HP01,2021-10-18 07:13:01,5.32
,CC2-TP01,2021-10-16 12:00:03,5.78
,CC7-TP01,2021-10-12 16:16:06,4.37
,CC2-TP01,2021-10-13 13:51:57,4.81
,CC7-HP01,2021-10-19 18:36:56,5.13
,CC7-HP01,2021-10-19 10:50:48,4.95
,CC5-TP01,2021-10-14 13:06:07,4.16
,CC3-TP01,2021-10-19 19:56:46,4.73
,CC2-HP01,2021-10-17 13:03:34,4.01
,CC2-TP01,2021-10-18 10:46:18,5.36
,CC2-TP01,2021-10-17 16:54:25,5.11
,CC5-TP01,2021-10-16 07:15:47,4.42
,CC7-TP01,2021-10-15 19:00:46,4.13
,CC5-TP01,2021-10-12 04:06:57,4.74
,CC7-TP01,2021-10-13 04:02:59,4.26
,CC7-TP01,2021-10-17 11:33:48,4.31
,CC3-TP01,2021-10-15 04:27:04,4.0
,CC5-HP01,2021-10-12 05:27:14,5.18
,CC-TP01,2021-10-15 07:35:16,5.67
,CC5-HP01,2021-10-18 20:43:22,5.02
,CC7-TP01,2021-10-12 18:26:53,4.58
,CC2-HP01,2021-10-14 10:33:10,5.34
,CC6-TP01,2021-10-19 13:14:25,4.85
,CC4-HP01,2021-10-19 00:44:47,4.59
,CC5-TP01,2021-10-15 21:51:49,4.25
,CC-TP01,2021-10-13 18:23:14,5.93
,CC7-TP01,2021-10-14 22:08:34,4.1
,CC3-TP01,2021-10-16 07:39:25,5.32
,CC5-TP01,2021-10-13 23:06:59,5.59
,CC6-HP01,2021-10-19 13:24:09,5.94
,CC5-TP01,2021-10-14 02:40:22,4.7
,CC6-TP01,2021-10-15 15:47:22,4.69
,CC7-HP01,2021-10-16 05:34:00,4.52
,CC7-TP01,2021-10-15 02:44:50,4.09
,CC2-HP01,2021-10-18 01:19:10,5.15
,CC3-TP01,2021-10-14 16:39:05,4.49
,CC5-TP01,2021-10-18 21:04:55,4.48
,CC4-HP01,2021-10-19 07:55:32,4.7
,CC7-TP01,2021-10-14 04:05:17,5.28
,CC7-TP01,2021-10-15 05:31:18,4.22
,CC5-HP01,2021-10-18 06:56:17,4.37
,CC3-TP01,2021-10-15 21:37:39,5.34
,CC5-HP01,2021-10-19 16:10:48,5.12
,CC-TP01,2021-10-12 08:22:48,5.46
,CC4-TP01,2021-10-14 10:00:47,5.88
,CC-TP01,2021-10-14 11:22:00,5.85
,CC5-TP01,2021-10-13 01:05:16,4.18
,CC3-TP01,2021-10-18 10:32:47,5.25
,CC7-TP01,2021-10-13 03:33:51,4.36
,CC5-HP01,2021-10-12 07:42:32,4.15
,CC7-TP01,2021-10-18 21:33:43,5.22
,CC2-HP01,2021-10-18 17:35:24,4.98
,CC-TP01,2021-10-13 18:51:48,4.94
,CC3-HP01,2021-10-17 18:44:49,4.99
,CC4-TP01,2021-10-12 16:59:00,4.93
,CC5-TP01,2021-10-14 04:17:23,4.14
,CC6-TP01,2021-10-19 00:50:30,4.71
,CC5-HP01,2021-10-18 00:20:38,4.63
,CC7-HP01,2021-10-17 01:03:16,5.21
,CC5-TP01,2021-10-17 07:23:00,4.9
,CC7-HP01,2021-10-19 17:06:16,4.51
,CC4-HP01,2021-10-13 02:10:12,4.12
,CC2-TP01,2021-10-13 13:58:49,4.86
,CC-TP01,2021-10-17 06:21:07,5.85
,CC5-HP01,2021-10-17 20:45:57,5.23
,CC3-TP01,2021-10-12 00:32:17,4.61
,CC-HP01,2021-10-14 17:04:19,5.03
,CC6-HP01,2021-10-12 08:32:23,4.24
,CC5-TP01,2021-10-15 12:56:05,4.61
,CC3-HP01,2021-10-17 18:02:38,5.65
,CC3-TP01,2021-10-14 00:19:52,4.48
,CC4-TP01,2021-10-16 10:36:02,4.13
,CC7-TP01,2021-10-18 11:01:02,5.3
,CC5-TP01,2021-10-12 09:05:39,4.81
,CC4-HP01,2021-10-18 14:43:46,5.41
,CC7-HP01,2021-10-19 08:45:15,4.03
,CC5-HP01,2021-10-18 01:26:15,5.11
,CC7-TP01,2021-10-12 16:22:44,5.99
,CC2-TP01,2021-10-14 09:55:23,4.04
,CC6-TP01,2021-10-12 06:36:14,4.38
,CC4-TP01,2021-10-15 01:03:00,4.38
,CC6-HP01,2021-10-16 11:01:27,5.57
,CC3-TP01,2021-10-18 21:48:55,4.98
,CC4-HP01,2021-10-14 04:42:46,5.71
,CC3-TP01,2021-10-14 20:44:24,5.6
,CC3-HP01,2021-10-13 16:01:48,5.35
,CC7-TP01,2021-10-12 06:47:16,4.66
,CC7-TP01,2021-10-17 00:27:15,5.35
,CC6-HP01,2021-10-12 00:21:56,4.73
,CC3-TP01,2021-10-16 07:06:20,4.68
,CC7-TP01,2021-10-17 00:21:30,5.0
,CC7-TP01,2021-10-15 15:12:45,5.7
,CC2-HP01,2021-10-16 01:31:54,5.05
,CC6-HP01,2021-10-13 13:34:31,4.42
,CC4-TP01,2021-10-15 19:34:48,4.52
,CC-TP01,2021-10-14 14:53:26,4.44
,CC7-HP01,2021-10-15 13:47:31,4.57
,CC7-TP01,2021-10-13 13:52:24,5.83
,CC6-TP01,2021-10-18 16:11:21,5.4
,CC5-TP01,2021-10-13 00:02:09,5.53
,CC4-HP01,2021-10-15 01:19:56,5.13
,CC2-TP01,2021-10-18 08:15:30,4.04
,CC4-TP01,2021-10-18 23:32:20,5.86
,CC3-TP01,2021-10-12 16:57:20,4.67
,CC-HP01,2021-10-12 18:36:44,5.17
,CC7-TP01,2021-10-14 05:30:12,4.12
,CC-TP01,2021-10-13 17:47:20,4.08
,CC7-HP01,2021-10-18 01:58:32,4.33
,CC-HP01,2021-10-15 00:45:12,5.08
,CC2-HP01,2021-10-12 01:39:05,4.39
,CC6-TP01,2021-10-16 23:07:45,5.55
,CC6-TP01,2021-10-14 06:37:34,4.69
,CC2-TP01,2021-10-13 12:08:33,4.31
,CC7-HP01,2021-10-16 10:50:07,5.07
,CC5-HP01,2021-10-12 18:31:06,5.92
,CC6-HP01,2021-10-16 01:57:58,4.96
,CC2-TP01,2021-10-19 18:15:41,4.64
,CC2-TP01,2021-10-13 21:05:07,5.51
,CC7-HP01,2021-10-12 16:58:08,4.55
,CC2-HP01,2021-10-13 10:07:50,5.36
,CC5-TP01,2021-10-18 19:02:12,4.52
,CC2-TP01,2021-10-14 17:04:59,5.63
,CC5-HP01,2021-10-12 04:54:25,5.6
,CC7-TP01,2021-10-17 03:25:47,5.18
,CC2-TP01,2021-10-19 15:46:56,5.4
,CC-TP01,2021-10-14 18:19:07,4.2
,CC6-HP01,2021-10-12 08:00:52,5.0
,CC3-TP01,2021-10-15 06:35:16,4.13
,CC-TP01,2021-10-12 20:49:36,5.89
,CC2-HP01,2021-10-18 21:55:55,5.48
,CC2-HP01,2021-10-13 18:50:25,5.83
,CC5-TP01,2021-10-17 08:28:09,5.4
,CC2-TP01,2021-10-14 20:31:09,4.17
,CC-HP01,2021-10-14 00:56:03,5.11
,CC-HP01,2021-10-13 00:40:47,4.57
,CC-HP01,2021-10-13 22:45:46,4.0
,CC4-HP01,2021-10-17 18:29:11,4.5
,CC3-TP01,2021-10-15 12:54:30,4.18
,CC2-TP01,2021-10-18 16:09:26,4.62
,CC6-TP01,2021-10-16 14:29:32,5.28
,CC6-TP01,2021-10-13 19:42:58,5.17
,CC5-TP01,2021-10-18 08:53:30,5.07
,CC5-TP01,2021-10-14 21:06:09,5.63
,CC3-HP01,2021-10-14 09:46:29,4.67
,CC4-HP01,2021-10-17 16:03:31,4.43
,CC4-HP01,2021-10-17 14:29:53,5.83
,CC6-HP01,2021-10-17 23:03:48,4.16
,CC6-TP01,2021-10-18 09:37:20,4.38
,CC4-TP01,2021-10-16 11:01:52,4.68
,CC4-HP01,2021-10-17 06:24:46,4.74
,CC6-HP01,2021-10-15 01:03:21,4.41
,CC5-TP01,2021-10-14 04:38:02,4.98
,CC7-TP01,2021-10-15 12:39:10,5.27
,CC5-HP01,2021-10-18 21:38:50,5.71
,CC-HP01,2021-10-14 01:08:43,6.0
,CC-HP01,2021-10-17 16:27:02,5.74
,CC-TP01,2021-10-16 19:46:40,4.73
,CC3-TP01,2021-10-15 09:02:22,5.0
,CC-HP01,2021-10-13 11:16:51,5.11
,CC4-HP01,2021-10-17 05:03:10,4.94
,CC5-TP01,2021-10-13 03:06:09,4.99
,CC7-HP01,2021-10-13 01:40:27,4.46
,CC-HP01,2021-10-15 22:19:23,5.69
,CC6-HP01,2021-10-16 01:39:39,4.02
,CC-HP01,2021-10-18 21:07:36,5.56
,CC6-HP01,2021-10-18 08:17:43,5.4
,CC5-HP01,2021-10-13 10:23:37,5.01
,CC4-HP01,2021-10-14 01:28:42,5.81
,CC4-HP01,2021-10-15 20:25:54,4.76
,CC3-HP01,2021-10-14 22:08:57,4.6
,CC-HP01,2021-10-14 02:51:44,4.57
,CC5-HP01,2021-10-18 05:43:05,5.96
,CC6-HP01,2021-10-16 15:32:06,4.38
,CC3-HP01,2021-10-17 07:49:16,5.55
,CC5-TP01,2021-10-12 09:16:42,4.07
,CC3-TP01,2021-10-13 13:18:17,5.33
,CC-HP01,2021-10-18 11:33:01,5.43
,CC7-TP01,2021-10-13 18:57:42,5.41
,CC2-TP01,2021-10-17 18:53:01,4.08
,CC6-HP01,2021-10-19 07:37:51,5.77
,CC3-HP01,2021-10-19 13:54:34,5.72
,CC6-HP01,2021-10-14 00:47:16,5.15
,CC4-HP01,2021-10-15 04:31:36,4.62
,CC4-HP01,2021-10-17 00:58:15,4.59
,CC6-TP01,2021-10-16 20:47:47,5.42
,CC5-TP01,2021-10-16 06:17:49,6.0
,CC6-TP01,2021-10-19 09:08:17,5.01
,CC5-HP01,2021-10-12 13:15:32,5.96
,CC5-HP01,2021-10-16 03:32:12,5.59
,CC5-TP01,2021-10-17 08:53:01,4.43
,CC5-HP01,2021-10-13 18:41:04,4.74
,CC4-TP01,2021-10-13 02:08:34,4.88
,CC4-TP01,2021-10-19 15:20:36,5.4
,CC4-TP01,2021-10-13 16:59:23,4.11
,CC5-HP01,2021-10-13 01:45:26,4.96
,CC-TP01,2021-10-13 06:43:32,4.92
,CC-HP01,2021-10-13 04:49:04,4.16
,CC5-TP01,2021-10-19 17:20:47,4.12
,CC5-HP01,2021-10-15 23:37:05,5.76
,CC-TP01,2021-10-15 05:18:47,4.49
,CC-TP01,2021-10-17 02:56:35,5.16
,CC2-TP01,2021-10-17 06:17:47,4.96
,CC4-TP01,2021-10-14 14:42:28,4.97
,CC4-TP01,2021-10-14 14:45:54,5.14
,CC7-HP01,2021-10-13 08:42:38,4.41
,CC-HP01,2021-10-18 16:51:58,5.83
,CC2-TP01,2021-10-17 00:25:59,4.11
,CC-HP01,2021-10-16 17:03:59,5.78
,CC3-TP01,2021-10-15 02:26:03,4.67
,CC7-TP01,2021-10-14 03:08:40,4.64
,CC7-TP01,2021-10-19 12:51:54,5.12
,CC4-HP01,2021-10-17 10:03:48,5.46
,CC2-TP01,2021-10-15 12:52:23,5.9
,CC2-TP01,2021-10-17 10:29:58,4.46
,CC5-HP01,2021-10-12 20:54:07,5.02
,CC4-HP01,2021-10-17 00:35:16,5.49
,CC4-TP01,2021-10-12 02:01:57,5.38
,CC5-HP01,2021-10-17 09:06:54,4.19
,CC5-HP01,2021-10-13 22:27:08,5.3
,CC7-HP01,2021-10-15 12:36:50,5.53
,CC4-TP01,2021-10-17 03:31:37,5.03
,CC2-HP01,2021-10-14 17:44:14,5.65
,CC4-HP01,2021-10-14 02:00:27,4.78
,CC3-HP01,2021-10-14 00:23:37,4.05
,CC-TP01,2021-10-18 21:16:06,5.35
,CC2-TP01,2021-10-18 15:37:17,4.9
,CC7-TP01,2021-10-12 14:09:15,4.81
,CC2-HP01,2021-10-14 07:56:19,5.26
,CC4-TP01,2021-10-17 14:45:39,4.97
,CC7-TP01,2021-10-14 13:29:20,4.57
,CC7-HP01,2021-10-17 07:58:27,5.35
,CC-TP01,2021-10-16 21:33:31,4.78
,CC7-TP01,2021-10-17 19:40:24,4.43
,CC4-TP01,2021-10-14 17:31:17,5.75
,CC6-HP01,2021-10-17 19:09:20,5.32
,CC2-TP01,2021-10-13 08:07:02,4.94
,CC-HP01,2021-10-19 08:47:52,5.36
,CC-TP01,2021-10-12 10:18:22,5.69
,CC3-TP01,2021-10-15 09:12:00,5.88
,CC5-TP01,2021-10-16 06:11:00,4.37
,CC6-HP01,2021-10-14 04:52:17,4.26
,CC2-HP01,2021-10-19 03:03:50,5.38
,CC5-HP01,2021-10-17 04:48:43,5.97
,CC5-HP01,2021-10-13 22:57:51,4.15
,CC7-HP01,2021-10-15 22:55:26,4.53
,CC4-HP01,2021-10-14 03:26:19,4.47
,CC5-TP01,2021-10-19 09:17:34,5.29
,CC5-HP01,2021-10-19 07:46:15,5.98
,CC7-HP01,2021-10-15 16:31:26,5.86
,CC3-HP01,2021-10-19 18:38:24,5.97
,CC4-HP01,2021-10-17 07:07:34,5.66
,CC4-HP01,2021-10-17 21:41:09,5.1
,CC-HP01,2021-10-14 09:53:56,5.82
,CC3-TP01,2021-10-13 20:04:58,5.18
,CC5-HP01,2021-10-15 01:05:54,4.39
,CC6-HP01,2021-10-17 17:55:17,4.53
,CC7-TP01,2021-10-18 14:30:36,4.16
,CC7-TP01,2021-10-19 04:47:01,5.97
,CC4-HP01,2021-10-18 14:49:17,5.09
,CC4-TP01,2021-10-19 04:47:54,4.64
,CC2-TP01,2021-10-17 21:50:18,4.29
,CC-TP01,2021-10-19 18:44:48,4.01
,CC4-TP01,2021-10-18 06:58:08,4.91
,CC5-TP01,2021-10-16 16:35:21,4.1
,CC7-HP01,2021-10-12 21:15:08,5.01
,CC7-HP01,2021-10-14 00:33:41,4.05
,CC7-HP01,2021-10-14 19:19:18,5.77
,CC7-TP01,2021-10-19 20:03:30,5.41
,CC-TP01,2021-10-14 03:26:26,4.16
,CC7-HP01,2021-10-14 11:02:54,4.53
,CC3-HP01,2021-10-13 20:21:40,5.12
,CC-TP01,2021-10-16 07:28:25,5.58
,CC3-HP01,2021-10-18 10:26:52,4.51
,CC6-HP01,2021-10-17 20:58:17,5.26
,CC5-HP01,2021-10-12 17:50:11,5.08
,CC2-HP01,2021-10-13 13:44:13,5.51
,CC-HP01,2021-10-12 01:37:20,4.02
,CC3-TP01,2021-10-17 20:30:23,4.96
,CC3-TP01,2021-10-13 02:25:32,4.21
,CC2-TP01,2021-10-17 07:07:51,4.75
,CC4-HP01,2021-10-16 03:11:32,5.58
,CC3-HP01,2021-10-15 07:48:11,4.47
,CC7-TP01,2021-10-18 16:14:07,4.37
,CC5-TP01,2021-10-14 16:52:58,5.42
,CC-TP01,2021-10-12 15:51:52,4.81
,CC7-TP01,2021-10-17 03:01:04,5.25
,CC-TP01,2021-10-17 01:22:15,4.16
,CC7-TP01,2021-10-19 19:11:38,5.34
,CC7-TP01,2021-10-19 12:24:57,4.79
,CC-TP01,2021-10-18 07:32:58,5.57
,CC-TP01,2021-10-18 03:10:16,4.75
,CC7-HP01,2021-10-13 03:28:36,5.26
,CC2-TP01,2021-10-12 05:19:37,4.25
,CC6-TP01,2021-10-17 18:52:29,5.09
,CC6-HP01,2021-10-19 14:53:14,5.59
,CC6-TP01,2021-10-19 21:37:32,4.19
,CC7-HP01,2021-10-19 04:32:25,4.33
,CC7-TP01,2021-10-12 21:36:43,5.74
,CC-TP01,2021-10-16 07:51:54,5.28
,CC2-HP01,2021-10-16 20:10:30,4.69
,CC5-HP01,2021-10-19 19:53:58,5.35
,CC5-TP01,2021-10-13 14:34:41,4.56
,CC7-HP01,2021-10-16 11:57:22,5.73
,CC4-HP01,2021-10-15 19:27:09,5.04
,CC3-HP01,2021-10-12 22:20:33,4.24
,CC-TP01,2021-10-14 08:41:16,5.38
,CC5-TP01,2021-10-14 02:50:06,5.78
,CC4-HP01,2021-10-15 23:57:03,5.67
,CC3-TP01,2021-10-19 01:01:51,5.49
,CC4-HP01,2021-10-18 04:36:16,5.83
,CC-TP01,2021-10-19 08:02:44,4.98
,CC5-TP01,2021-10-14 20:43:26,4.84
,CC2-TP01,2021-10-14 19:30:11,5.84
,CC6-TP01,2021-10-12 20:59:48,4.01
,CC5-TP01,2021-10-17 05:26:54,4.74
,CC7-TP01,2021-10-19 13:18:50,4.51
,CC2-HP01,2021-10-18 20:33:13,4.51
,CC4-TP01,2021-10-16 11:41:26,5.72
,CC5-HP01,2021-10-14 02:54:11,5.64
,CC3-TP01,2021-10-16 07:03:23,5.08
,CC5-HP01,2021-10-17 19:17:46,5.13
,CC3-TP01,2021-10-14 00:05:29,4.04
,CC5-TP01,2021-10-15 22:38:00,4.67
,CC2-HP01,2021-10-14 23:08:21,5.66
,CC6-TP01,2021-10-15 16:24:11,5.05
,CC5-TP01,2021-10-13 02:14:52,5.1
,CC5-HP01,2021-10-19 11:01:14,5.64
,CC5-HP01,2021-10-14 18:28:35,5.95
,CC5-HP01,2021-10-12 16:48:40,5.9
,CC4-TP01,2021-10-17 23:59:19,4.1
,CC-HP01,2021-10-14 14:34:59,4.26
,CC-TP01,2021-10-16 12:09:28,5.61
,CC6-TP01,2021-10-16 16:45:55,4.64
,CC7-HP01,2021-10-13 08:33:13,4.68
,CC5-TP01,2021-10-15 08:24:20,5.98
,CC-HP01,2021-10-12 02:58:43,5.97
,CC3-HP01,2021-10-19 23:18:29,5.99
,CC-TP01,2021-10-16 08:39:37,4.68
,CC6-HP01,2021-10-12 14:08:25,5.15
,CC2-TP01,2021-10-15 20:18:18,5.46
,CC-TP01,2021-10-14 09:03:50,5.23
,CC4-TP01,2021-10-14 22:34:19,4.54
,CC7-HP01,2021-10-18 18:44:55,5.21
,CC2-TP01,2021-10-15 10:46:42,5.24
,CC4-TP01,2021-10-18 08:04:50,5.5
,CC4-TP01,2021-10-16 07:49:12,5.24
,CC5-HP01,2021-10-17 15:02:55,4.65
,CC-HP01,2021-10-18 17:18:54,4.78
,CC7-HP01,2021-10-17 13:20:27,5.18
,CC3-HP01,2021-10-12 13:32:22,5.75
,CC4-HP01,2021-10-14 16:05:20,5.38
,CC7-HP01,2021-10-12 18:58:58,5.06
,CC5-HP01,2021-10-18 13:07:55,4.25
,CC7-HP01,2021-10-15 23:47:40,5.91
,CC7-HP01,2021-10-14 15:32:25,4.02
,CC4-HP01,2021-10-17 22:34:45,4.4
,CC7-TP01,2021-10-18 13:33:36,5.41
,CC6-HP01,2021-10-18 07:45:47,5.25
